	English	Japanese	English Sentence	Japanese Example	listening score	speaking score
0	that, that one	それ	That's a really nice story.	<b>それ</b> は とっても いい はなし だ	0	0
1	one (thing)	ひとつ	Please give me one of those.	それ を <b>ひとつ</b> ください	0	0
2	two	に	I met that person twice.	その ひと に は <b>に</b> かい あった	0	0
3	two (things)	ふたつ	Please give me two ice cream cones.	そふとくりーむ を <b>ふたつ</b> ください	0	0
4	three	さん	She's the mother of three children.	かのじょ は <b>さん</b>にん の こども の ははおや だ	0	0
5	three (things)	みっつ	I bought three glasses.	こっぷ を <b>みっつ</b> かいました	0	0
6	four (things)	よっつ	I have four wristwatches.	わたし は うでどけい を <b>よっつ</b> もって います	0	0
7	this, this one	これ	I'll have this please.	<b>これ</b>をください。	0	0
8	four	よん	This is my fourth trip to Hawaii.	はわい は <b>よん</b>かいめ です	0	0
9	five (things)	いつつ	I'd like five peaches, please.	もも を <b>いつつ</b> ください	0	0
10	five	ご	Five of us went on a trip.	<b>ご</b>にん で りょこう に いきました	0	0
11	six (things)	むっつ	My son turned six.	むすこ は <b>むっつ</b> に なりました	0	0
12	six	ろく	He has six children.	かれ に は こども が <b>ろく</b>にん います	0	0
13	seven (things)	ななつ	Our kid's turning seven this year.	この こ は ことし <b>ななつ</b> に なります	0	0
14	eight (things)	やっつ	There are eight clocks in that house.	あの いえ に は とけい が <b>やっつ</b> あります	0	0
15	nine (things)	ここのつ	My daughter's turning nine tomorrow.	むすめ は あす <b>ここのつ</b> に なります	0	0
16	ten	じゅう	The child counted to ten on her fingers.	その こ は ゆび で <b>じゅう</b> かぞえました	0	0
17	hundred	ひゃく	My grandmother is 100 years old.	わたし の そぼ は <b>ひゃく</b>さい です	0	0
18	ten thousand	まん	These shoes are ten thousand yen.	この くつ は いち<b>まん</b>えん です	0	0
19	yen@circle	えん	The curry and rice is 700 yen.@Draw a big circle there.	かれーらいす は ななひゃく<b>えん</b> です@そこ に おおき な <b>えん</b> を かいて	0	0
20	time	とき	Time passes by quickly.	<b>とき</b> の たつ の は はやい	0	0
21	do, make	する	I did my homework with a friend.	ともだち と いっしょ に しゅくだい を <b>した</b>	0	0
22	sometimes	ときどき	He's sometimes late.	かれ は <b>ときどき</b> ちこく します	0	0
23	six days, 6th of the month	むいか	I came back to Japan six days ago.	<b>むいか</b>まえ に にほん に かえって きました	0	0
24	three days, 3rd of the month	みっか	It took three days for the letter to arrive.	てがみ が とどく の に <b>みっか</b> かかりました	0	0
25	eight days, 8th of the month	ようか	I go to England on the eighth.	<b>ようか</b> から いぎりす に いきます	0	0
26	20 days, 20th of the month	はつか	The 20th of next month is my little brother's birthday.	らいげつ の <b>はつか</b> は おとうと の たんじょうび です	0	0
27	two days, 2nd of the month	ふつか	I waited two days.	わたし は <b>ふつか</b> まった	0	0
28	nine days, 9th of the month	ここのか	The package will arrive on the ninth.	<b>ここのか</b> に にもつ が とどきます	0	0
29	place	ところ	I stayed at my friend's place for the night.	わたし は ともだち の <b>ところ</b> に とまった	0	0
30	1st of the month	ついたち	Are you free on the 1st of next month?	らいげつ の <b>ついたち</b> は あいています か	0	0
31	ten days, 10th of the month	とおか	I'll come home in ten days.	<b>とおか</b>ご に かえります	0	0
32	seven days, 7th of the month	なのか	My grandchild was born on the seventh of last month.	せんげつ の <b>なのか</b> に まご が うまれました	0	0
33	four days, 4th of the month	よっか	The new school term starts on the fourth of next month.	しんがっき は らいげつ の <b>よっか</b> から です	0	0
34	moon	つき	The moon looks so beautiful tonight.	こんや は <b>つき</b> が とても きれい です	0	0
35	water	みず	Please give me a glass of water.	<b>みず</b> を いっぱい ください	0	0
36	Sunday	にちようび	We went to the seaside on Sunday.	<b>にちようび</b> は うみ に いきました	0	0
37	Saturday	どようび	I'm going to a club Saturday night.	<b>どようび</b> の よる は くらぶ に いきます	0	0
38	Friday	きんようび	I go out with my friends on Friday nights.	<b>きんようび</b> の よる は ともだち と でかけます	0	0
39	Monday	げつようび	Let's meet on Monday.	<b>げつようび</b> に あいましょう	0	0
40	Thursday	もくようび	Thursday is my day off work.	<b>もくようび</b> は しごと が やすみ です	0	0
41	day of the week	ようび	I got the day of the week wrong.	<b>ようび</b> を まちがえました	0	0
42	Tuesday	かようび	There's a meeting on Tuesday.	<b>かようび</b> に かいぎ が あります	0	0
43	Wednesday	すいようび	I have a part-time job on Wednesdays.	<b>すいようび</b> は ばいと が あります	0	0
44	understand	わかる	Did you understand the meaning of the question?	しつもん の いみ は <b>わかりました</b> か	0	0
45	ahead, first	さき	Please go ahead.	お<b>さき</b>に どうぞ	0	0
46	this year	ことし	I want to travel to Italy this year.	<b>ことし</b> は いたりあ に りょこう したい	0	0
47	this month	こんげつ	I'm very busy this month.	<b>こんげつ</b> は とても いそがしい	0	0
48	this week	こんしゅう	There's a Japanese test this week.	<b>こんしゅう</b> は にほんご の てすと が あります	0	0
49	come	くる	He'll come after lunch.	かれ は ひるすぎ に <b>きます</b>	0	0
50	next year	らいねん	Let's travel together next year.	<b>らいねん</b> いっしょ に りょこう しましょう	0	0
51	go	いく	I go to the library on Sundays.	にちようび は としょかん に <b>いきます</b>	0	0
52	big	おおきい	What's that big building?	あの <b>おおきい</b> たてもの は なん です か	0	0
53	small	ちいさい	Small flowers are blooming.	<b>ちいさい</b> はな が さいて います	0	0
54	few, little	すくない	There's not much rain this year.	ことし は あめ が <b>すくない</b> です 。	0	0
55	a bit, a little while	すこし	I'm a little tired.	<b>すこし</b> つかれました	0	0
56	lots of	おおい	There are a lot of temples in Kyoto.	きょうと に は おてら が <b>おおい</b>	0	0
57	probably, perhaps	たぶん	She's probably sleeping at home.	かのじょ は <b>たぶん</b> いえ で ねて います	0	0
58	right	みぎ	There's a handkerchief in my right pocket.	<b>みぎ</b> の ぽけっと に はんかち が はいって います	0	0
